CODE_UIC;LIBELLE;FRET;VOYAGEURS;CODE_LIGNE;RG_TRONCON;PK;COMMUNE;DEPARTEMEN;IDRESEAU;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
87271585;Ormoy-Villers;O;O;229000;1;055+618;ORMOY-VILLERS;OISE;5872;d9e56c66-6667-11e3-89ff-01f464e0362d;688158,145;6900056,812;2,837537695;49,20012433;49.200124332, 2.83753769504;49.200124332, 2.83753769504;"{""type"": ""Point"", ""coordinates"": [2.837537695038121, 49.200124332022035]}"
87345025;Lens;O;O;301000;1;211+328;LENS;PAS-DE-CALAIS;5035;29040f86-dfbc-11e3-a2ff-01a464e0362d;687704,802;7036618,497;2,827218591;50,42697807;50.4269780679, 2.8272185912;50.4269780679, 2.8272185912;"{""type"": ""Point"", ""coordinates"": [2.827218591200355, 50.42697806791436]}"
87171058;Reims-St-Léonard;O;N;081000;1;215+963;SAINT-LÉONARD;MARNE;8343;e53f6066-6667-11e3-a7ff-01f464e0362d;780369,1621;6903185,184;4,1031404;49,22331127;49.2233112747, 4.10314039991;49.2233112747, 4.10314039991;"{""type"": ""Point"", ""coordinates"": [4.103140399912199, 49.22331127472199]}"
87745596;Bons-en-Chablais;N;O;892000;1;186+603;BONS-EN-CHABLAIS;HAUTE-SAVOIE;3291;298ec88a-dfbc-11e3-a2ff-01a464e0362d;959301,4047;6579938,157;6,367965612;46,26954723;46.2695472255, 6.36796561245;46.2695472255, 6.36796561245;"{""type"": ""Point"", ""coordinates"": [6.36796561244969, 46.26954722545193]}"
87271304;La Courneuve-Aubervilliers;N;O;229000;1;006+312;COURNEUVE (LA );SEINE-SAINT-DENIS;2969;c1111e94-f312-11e3-90ff-015864e0362d;654965,484;6869518,933;2,385429058;48,92407748;48.9240774825, 2.38542905783;48.9240774825, 2.38542905783;"{""type"": ""Point"", ""coordinates"": [2.385429057827459, 48.92407748251035]}"
87471060;L'Hermitage-Mordelles;O;O;420000;1;385+104;L'HERMITAGE;ILLE-ET-VILAINE;8893;e1934ea8-19bf-11e5-a6ff-01fc64e0362d;341644,2469;6791268,49;-1,819211515;48,12333577;48.1233357746, -1.81921151527;48.1233357746, -1.81921151527;"{""type"": ""Point"", ""coordinates"": [-1.819211515267763, 48.123335774585655]}"
87295568;Hautmont;O;O;242000;1;223+881;HAUTMONT;NORD;4422;e1a290fc-19bf-11e5-a6ff-01fc64e0362d;765374,4824;7017714,366;3,915571616;50,25397434;50.2539743362, 3.91557161626;50.2539743361, 3.91557161626;"{""type"": ""Point"", ""coordinates"": [3.915571616258313, 50.2539743361475]}"
87721282;St-Germain-au-Mont-d'Or;O;O;830000;1;490+850;SAINT-GERMAIN-AU-MONT-D'OR;RHONE;6475;d9a9e9d0-6667-11e3-89ff-01f464e0362d;839928,8957;6533693,511;4,804533533;45,88852518;45.8885251811, 4.80453353282;45.8885251811, 4.80453353282;"{""type"": ""Point"", ""coordinates"": [4.804533532820094, 45.88852518107115]}"
87444539;Argentan;O;O;430000;1;099+031;ARGENTAN;ORNE;2923;e14bdde2-19bf-11e5-a6ff-01fc64e0362d;477551,1986;6852951,538;-0,025596463;48,73832369;48.7383236854, -0.0255964632242;48.7383236854, -0.0255964632242;"{""type"": ""Point"", ""coordinates"": [-0.025596463224223, 48.738323685420056]}"
87276451;Bruyères-sur-Oise;N;O;329000;1;049+603;BRUYÈRES-SUR-OISE;VAL-D'OISE;3429;c141437a-f312-11e3-90ff-015864e0362d;650860,9759;6895252,564;2,326423206;49,15515716;49.1551571575, 2.32642320608;49.1551571575, 2.32642320608;"{""type"": ""Point"", ""coordinates"": [2.326423206078787, 49.15515715748975]}"
87444398;Villers-sur-Mer;N;O;379000;1;039+791;VILLERS-SUR-MER;CALVADOS;7276;d9bf17a6-6667-11e3-89ff-01f464e0362d;482602,5725;6917036,86;0,010053597;49,3158744;49.3158744007, 0.0100535971556;49.3158744007, 0.0100535971556;"{""type"": ""Point"", ""coordinates"": [0.010053597155553, 49.31587440068044]}"
87722702;Francheville;N;O;775000;1;118+446;FRANCHEVILLE;RHONE;4222;d9c6f576-6667-11e3-89ff-01f464e0362d;837673,8208;6516223,379;4,770411273;45,73170828;45.7317082818, 4.7704112727;45.7317082818, 4.7704112727;"{""type"": ""Point"", ""coordinates"": [4.770411272700128, 45.73170828176287]}"
87756825;Sospel;N;O;945000;1;033+487;SOSPEL;ALPES-MARITIMES;6874;d9b2d8b2-6667-11e3-89ff-01f464e0362d;1057813,918;6318702,296;7,453890137;43,87648257;43.876482571, 7.45389013749;43.876482571, 7.45389013749;"{""type"": ""Point"", ""coordinates"": [7.453890137493692, 43.87648257097453]}"
87613489;Lexos;O;O;718000;1;308+400;VAREN;TARN-ET-GARONNE;5147;e1802a82-19bf-11e5-a6ff-01fc64e0362d;610897,437;6338759,45;1,886266294;44,14218551;44.1421855054, 1.88626629355;44.1421855054, 1.88626629355;"{""type"": ""Point"", ""coordinates"": [1.886266293554494, 44.14218550540855]}"
87113209;Pantin;O;O;001000;1;004+460;PANTIN;SEINE-SAINT-DENIS;5914;e1c44666-19bf-11e5-a6ff-01fc64e0362d;656043,0137;6866619,831;2,400433571;48,89808182;48.8980818161, 2.40043357079;48.8980818161, 2.40043357079;"{""type"": ""Point"", ""coordinates"": [2.40043357079101, 48.8980818160614]}"
87142562;Ste-Colombe-sur-Seine;O;N;839000;1;033+460;SAINTE-COLOMBE-SUR-SEINE;COTE-D'OR;9202;d9e61a12-6667-11e3-89ff-01f464e0362d;815721,2233;6753674,271;4,548044551;47,87325339;47.873253394, 4.54804455053;47.873253394, 4.54804455053;"{""type"": ""Point"", ""coordinates"": [4.548044550525569, 47.87325339399031]}"
87272286;Corcy;N;O;229000;1;087+270;CORCY;AISNE;3810;e0164018-19bf-11e5-82ff-01fc64e0362d;715748,1632;6906213,951;3,216285373;49,25539267;49.2553926714, 3.21628537326;49.2553926714, 3.21628537326;"{""type"": ""Point"", ""coordinates"": [3.216285373262402, 49.2553926713998]}"
87615468;Castres;O;O;737000;1;366+152;CASTRES;TARN;3509;d9a2271e-6667-11e3-89ff-01f464e0362d;637726,581;6277961,665;2,229009705;43,59797405;43.5979740495, 2.2290097046;43.5979740494, 2.2290097046;"{""type"": ""Point"", ""coordinates"": [2.229009704597237, 43.597974049449256]}"
87141044;Toul;O;O;070000;1;319+404;TOUL;MEURTHE-ET-MOSELLE;7002;d9df8fde-6667-11e3-89ff-01f464e0362d;911948,9092;6845964,047;5,879449806;48,6790499;48.6790498966, 5.87944980596;48.6790498965, 5.87944980596;"{""type"": ""Point"", ""coordinates"": [5.879449805958921, 48.679049896530366]}"
87286005;Lille-Flandres;O;O;295000;1;000+000;LILLE;NORD;5172;d9b28250-6667-11e3-89ff-01f464e0362d;705087,5686;7059984,962;3,071793001;50,636806;50.6368060001, 3.07179300065;50.6368060001, 3.07179300065;"{""type"": ""Point"", ""coordinates"": [3.071793000654147, 50.63680600009027]}"
87718502;Saône;N;O;872000;1;416+057;SAÔNE;DOUBS;6754;299472ec-dfbc-11e3-a2ff-01a464e0362d;934705,4256;6683433,093;6,101612876;47,20970012;47.2097001202, 6.10161287591;47.2097001202, 6.10161287591;"{""type"": ""Point"", ""coordinates"": [6.101612875909963, 47.209700120160505]}"
87765198;Bédarrides;N;O;830000;1;727+199;BEDARRIDES;VAUCLUSE;3151;d9d87960-6667-11e3-89ff-01f464e0362d;851709,2217;6328686,459;4,893026749;44,04081247;44.0408124678, 4.89302674919;44.0408124678, 4.89302674919;"{""type"": ""Point"", ""coordinates"": [4.893026749190604, 44.0408124677855]}"
87478149;Pleudihen;N;O;415000;1;155+884;PLEUDIHEN-SUR-RANCE;COTES-D'ARMOR;6022;d9b9c9ae-6667-11e3-89ff-01f464e0362d;333688,1391;6833640,837;-1,961688851;48,49940634;48.4994063433, -1.9616888511;48.4994063433, -1.9616888511;"{""type"": ""Point"", ""coordinates"": [-1.961688851097431, 48.49940634332199]}"
87182071;Rixheim;N;O;115000;1;113+676;RIXHEIM;HAUT-RHIN;6266;2930c89a-dfbc-11e3-a2ff-01a464e0362d;1029485,468;6748167,094;7,399542952;47,75126464;47.7512646374, 7.39954295223;47.7512646374, 7.39954295223;"{""type"": ""Point"", ""coordinates"": [7.399542952229912, 47.75126463740206]}"
87387159;Conches;N;O;366000;1;125+152;CONCHES-EN-OUCHE;EURE;3789;c0247a86-f312-11e3-90ff-015864e0362d;549022,3825;6875549,403;0,937936701;48,96215407;48.9621540735, 0.937936701488;48.9621540735, 0.937936701488;"{""type"": ""Point"", ""coordinates"": [0.937936701488134, 48.96215407346834]}"
87718460;Baume-les-Dames;N;O;852000;1;437+922;BAUME-LES-DAMES;DOUBS;3108;d9aa9084-6667-11e3-89ff-01f464e0362d;953514,2029;6700252,442;6,359331704;47,35406376;47.3540637648, 6.35933170357;47.3540637648, 6.35933170357;"{""type"": ""Point"", ""coordinates"": [6.359331703571242, 47.35406376478054]}"
